A,B,C,D,E,F,Z
0.647363529,7.467781608,1.46665984,2.062003332,5.337782009,9.666049595,1
9.5446397,7.289552326,8.868504154,3.339595344,4.878464022,4.582933594,2
8.932722534,4.701630562,5.536319687,4.155475966,0.787116229,4.874410906,2
7.540366522,6.128287492,4.339755249,9.401660715,4.1808523,3.354622028,6
7.795291289,5.888251646,9.429903044,0.786533291,2.469423802,6.193429072,1
2.204691349,4.727770144,2.06650527,4.427020555,4.635342726,7.769848082,3
8.619459596,8.528231617,7.192407489,8.876688237,0.93578662,0.78567274,6
6.91955141,1.830607734,0.693997902,1.983154186,7.706979558,1.904543012,1
2.996492492,1.048371253,9.558029948,2.284041491,3.557735276,4.533562891,1
2.131650087,6.0678836,0.52019085,5.189876,8.74585573,1.979768141,5
2.729694519,2.803659656,6.119763389,0.708845731,1.081913439,5.568394956,1
6.307204098,5.373818996,4.196039317,3.25330096,0.969887723,4.506617129,1
9.810764139,6.19095871,8.998647955,6.946496251,9.492937824,0.487717523,6
6.958356695,8.363288371,8.358991937,2.734902105,0.235718692,8.734954147,1
2.24743719,4.050817857,6.692623033,2.548483709,1.719376553,5.838882927,1
4.010350158,5.488840079,8.120120641,8.951376907,4.515141783,6.010387205,6
3.973576932,2.748524592,1.724585416,8.663006496,6.836437943,3.402594362,6
0.502393278,5.676052989,9.419726366,9.476682655,6.922899412,4.668932329,6
0.221097006,9.528775764,3.779838726,2.223610228,2.732402424,6.953223989,1
3.83405529,3.368528143,3.734514324,7.825073345,3.006248019,6.543018441,6
9.830555033,2.644816397,9.327346282,1.342254512,5.315833591,6.211989764,1
2.528017081,2.389739236,5.575481923,2.753488794,4.373012437,3.04133173,1
8.97006141,8.857719633,6.976523454,1.404186467,0.448183041,0.422024526,1
0.65005679,9.843897845,8.77622352,2.34163646,0.085136787,1.309942026,1
8.574927875,7.724064399,5.466586971,6.930639499,6.219844841,1.980277479,6
6.949217409,6.325581187,4.361512082,7.558929434,3.125432251,0.974392526,6
3.635607144,6.271503562,4.462720171,7.961106192,5.381524952,2.827879981,6
3.277458857,0.171124823,9.614432831,3.945846526,9.720932058,0.380287938,3
6.856332892,2.25020335,6.522378126,2.370146002,7.087677796,2.493473417,1
2.776540984,0.386492291,6.743818345,8.585729598,6.369167328,3.150581003,6
1.741190211,7.172680357,8.149414668,2.698467931,4.882806111,9.373471361,1
9.22182338,2.393852388,1.740741057,5.818356044,2.790286516,1.975513719,5
4.419117645,9.831891479,7.877870873,8.59968918,8.214544003,0.171779621,6
6.420801417,4.231016208,6.608495698,1.637882936,0.298999266,7.174699407,1
4.506414047,0.84613893,3.880920782,4.724246856,6.27450474,3.152067238,3
8.30434134,9.691950893,1.826049748,0.429569464,3.602038225,3.600988198,1
6.658984257,5.790056311,9.402435858,3.662320591,5.330508692,6.744642174,2
4.058193032,8.524140591,0.562777419,8.986371808,2.02992628,8.648257616,6
9.301261374,2.992484397,9.228421207,0.645824204,7.434598378,8.802955865,1
8.282391438,4.25627676,8.726394397,5.67192927,1.459275207,0.555551254,5
1.531787407,4.366220204,9.740938344,3.016769019,1.322731153,5.626061544,1
7.926494143,8.445102598,9.860150021,6.825919562,0.712315978,7.809699041,6
1.103992532,1.473930622,1.004076879,0.863940318,2.236005867,5.799965638,1
7.582760629,5.495488358,5.353232266,0.955361326,1.729714779,1.968225363,1
2.586346756,7.373549557,3.93916108,3.378462533,3.349770096,7.209274298,2
2.586279417,5.17568195,1.73080301,6.303412664,1.283666591,6.976839359,6
2.012499048,6.7159138,4.478472818,2.099440151,3.992437614,2.653353185,1
0.614341741,6.00497807,0.474243856,7.514326382,1.767740574,1.659622421,6
5.66387581,6.739317798,5.785771903,1.526842332,2.076299978,0.257707095,1
6.00333047,4.848271245,8.5921199,1.483740775,2.244333869,6.415878304,1
5.199791486,2.580567341,8.360644341,5.0430763,8.704795387,5.325717031,4
0.095351987,0.46339865,8.498976416,7.821027757,6.856028706,9.349655643,6
2.356147819,8.276275361,5.24134133,3.285473214,9.873454248,0.264078076,2
3.969910584,9.680442559,7.039066271,1.999552185,6.88050471,6.970333096,1
8.348137722,6.507239077,9.172508354,1.018703045,9.400069869,7.82974679,1
6.343207093,7.24168155,0.175163968,1.105604693,8.848832129,3.160670539,1
0.239795992,1.300268213,5.702529494,8.971928155,1.7932675,9.905254849,6
1.99456054,6.793430257,6.043205171,1.002565631,7.709192396,7.940381258,1
9.810752397,7.434213873,1.284710793,8.348439745,3.285072258,9.797504433,6
0.852017217,5.298854673,3.48811456,8.18226084,9.083287432,5.784609191,6
1.273328746,3.577951909,3.807789093,3.798474654,2.982251323,4.186928935,2
4.616726618,9.398647251,0.701379125,8.741043755,6.173636737,5.319807323,6
5.666118273,8.178018815,8.333672875,5.374585231,2.03589999,4.6570817,5
0.209638866,9.189145813,7.137747113,0.868853128,9.902565822,3.69912191,1
1.841260096,7.692243936,3.490058389,6.33005527,2.420344715,5.097461733,6
6.197586035,9.512872623,8.384868114,9.946085403,6.516027126,2.336171606,6
5.187993917,4.184219353,6.850876502,5.807108442,9.790021456,3.790874821,6
8.661968589,7.731479193,8.248448599,4.717878897,3.278566512,1.796472001,3
7.114002018,8.078689518,7.26268343,9.860446423,5.103887355,9.78868947,6
5.718862408,0.463173351,6.70349979,5.777336553,1.641558819,7.810252665,5
5.293176313,3.142452152,8.200105791,8.391662674,3.681118889,7.376824544,6
6.227874426,2.399686671,0.102641103,1.455787681,4.71385006,8.108635712,1
5.369755966,5.993751878,7.563552951,9.307162603,9.963314122,9.990331476,6
9.029886786,5.007239529,7.802060064,8.902109307,9.477998719,1.892437384,6
9.785661877,5.787892992,0.50209674,2.957920201,5.257241232,5.285021649,1
2.034974649,3.343857792,1.718426066,1.030766531,0.746187654,7.305911639,1
0.787345684,7.773384484,6.79440923,7.652129057,6.897677868,6.85216422,6
2.382026411,3.54468676,6.879002833,6.572162936,5.302657383,1.836911977,6
8.43285331,4.880925755,2.537040232,8.553090649,8.518334915,8.317400239,6
8.488385678,0.771693299,0.211727106,3.103335967,4.008065746,2.335223963,1
3.948619155,5.901064791,9.193531229,1.899118681,1.146911882,1.262855398,1
5.877737696,4.433940431,0.633365189,7.82800227,4.201337526,9.846027946,6
7.331621377,0.510847906,6.294157129,0.362053327,3.699339483,5.999224744,1
8.995664304,6.617125972,1.741846105,8.59069232,0.620152861,2.149036634,6
0.358276588,5.151012647,5.234802008,4.554507798,0.575955092,6.744801452,3
3.005636336,1.458778458,4.136044852,3.861163686,6.578758083,9.483831741,2
8.939619291,9.21954409,2.46960803,2.382557749,1.538079452,7.198198477,1
0.804921885,4.19989734,9.531942719,3.125673225,0.814324426,8.956044871,1
5.735172068,9.474441805,2.271125666,4.63773207,1.898115247,0.716049461,3
8.407357782,9.469523879,7.277321274,6.90374408,0.332373753,5.794630311,6
9.319569681,1.890141108,5.50813104,4.017669059,0.343097881,4.020580835,2
1.824067457,5.935859147,5.84543286,0.904328467,2.008113576,4.812573526,1
5.427263419,6.966989606,8.032334605,2.278576744,6.583638491,0.80458782,1
1.398348,7.294212376,0.722070513,8.191742333,0.300305076,6.881390177,6
7.038798448,3.302686796,1.19042693,3.60978525,5.513533273,5.527726365,2
9.373302727,3.620830959,7.763636879,4.730212494,7.145513411,1.794759979,3
5.460610826,6.448584019,0.205417796,5.165064533,8.037340445,6.454198813,4
0.896940765,9.427085313,8.30814653,1.180234539,4.142735362,5.198588332,1
4.865935158,0.576164445,4.852208306,0.827998374,9.732243809,4.613739598,1
6.186595624,1.140831363,2.134752749,6.909869664,5.400020425,3.012930909,6
2.697998991,2.917843942,9.224677825,0.114443682,6.745808114,9.237225387,1
7.804939827,1.124645076,6.753686028,7.879486405,9.177870201,0.307077033,6
4.949939255,1.364238069,8.831151053,7.611093699,2.10411335,0.603495229,6
5.131153073,8.222499563,3.940336932,3.420544476,0.475870566,5.489999307,2
2.307973309,4.441194953,4.300620232,8.557025861,2.875433986,4.435610278,6
6.624417596,1.151353431,9.035748219,2.537132582,2.766479868,5.395487502,1
0.655326845,3.736811952,4.512414105,6.596186399,4.958856605,2.784481531,6
7.721059713,3.108303268,1.804721929,7.30761253,0.410401746,4.358964473,6
1.496152654,0.605196975,0.015151212,8.039180869,0.668476627,9.788762201,6
1.614437182,2.669714755,7.084523203,9.746279427,8.761661458,7.171094208,6
2.32310125,4.248690475,5.638379877,5.066862615,0.868066286,9.091356568,4
